City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,javanrud,34.7961,46.5172,7.83,79,65,1.75,IR,1669867491
84,cozumel,20.5083,-86.9458,26.04,83,20,0.0,MX,1669867433
85,kahului,20.8947,-156.47,25.47,84,40,4.63,US,1669867492
86,kapaa,22.0752,-159.319,25.99,85,88,0.45,US,1669867326
87,korla,41.7597,86.1469,-7.51,18,0,3.14,CN,1669867473
88,kailua,21.4022,-157.7394,25.5,82,88,1.34,US,1669867292
89,valleyview,55.0667,-117.2859,-18.29,96,100,2.4,CA,1669867479
90,vuktyl,63.8567,57.3094,-23.61,100,55,0.71,RU,1669867493
91,ranong,9.9658,98.6348,29.37,65,100,1.83,TH,1669867493
92,springbok,-29.6643,17.8865,15.8,47,2,0.94,ZA,1669867493
93,yumen,40.2833,97.2,-8.89,59,100,3.99,CN,1669867494
94,hermanus,-34.4187,19.2345,17.77,83,99,2.03,ZA,1669867495
95,thompson,55.7435,-97.8558,-30.56,97,48,2.06,CA,1669867244
96,souillac,-20.5167,57.5167,26.21,69,40,3.09,MU,1669867495
97,narsaq,60.9167,-46.05,-0.88,90,62,2.12,GL,1669867496
98,upernavik,72.7868,-56.1549,-14.25,91,100,8.6,GL,1669867403
99,van,38.4924,43.3831,3.14,76,11,1.65,TR,1669867244
100,kasamwa,-2.85,32.4333,18.17,92,100,0.53,TZ,1669867496
101,pevek,69.7008,170.3133,-8.1,84,100,4.17,RU,1669867497
102,castro,-24.7911,-50.0119,14.98,98,60,1.99,BR,1669867313
103,florida,28.7505,-82.5001,18.23,100,40,0.0,US,1669867347
104,ayan,56.45,138.1667,-19.83,81,100,10.07,RU,1669867497
105,roald,62.5833,6.1333,5.18,87,43,5.66,NO,1669867498
106,lagoa,39.05,-27.9833,16.39,76,0,4.15,PT,1669867498
107,san juan,-31.5375,-68.5364,24.39,37,100,3.91,AR,1669867498
108,aklavik,68.2191,-135.0107,-16.46,97,100,1.94,CA,1669867499
109,bereda,43.2686,-7.5406,4.21,100,76,2.14,ES,1669867499
110,itainopolis,-7.4469,-41.4783,23.82,82,63,1.25,BR,1669867499
111,poum,-20.2333,164.0167,27.85,81,99,6.88,NC,1669867500
112,kamyshlov,56.8428,62.7111,-15.19,89,100,1.81,RU,1669867500
113,san andres,12.5847,-81.7006,27.84,75,16,7.86,CO,1669867398
114,fortuna,40.5982,-124.1573,9.64,95,100,8.75,US,1669867500
115,burnie,-41.0667,145.9167,19.41,49,0,3.41,AU,1669867417
116,port elizabeth,-33.918,25.5701,17.95,93,28,0.45,ZA,1669867403
117,nove hrady,48.7896,14.7784,1.77,93,97,1.67,CZ,1669867501
118,kruisfontein,-34.0033,24.7314,15.49,83,20,1.12,ZA,1669867501
119,miandoab,36.9694,46.1027,7.66,89,100,1.02,IR,1669867502
120,eresos,39.1667,25.9333,13.27,80,98,7.51,GR,1669867502
121,tibati,6.4667,12.6333,18.57,44,99,1.07,CM,1669867503
122,san patricio,28.017,-97.5169,14.92,60,24,3.96,US,1669867503
123,san quintin,30.4833,-115.95,13.53,75,0,3.72,MX,1669867504
124,eslov,55.8393,13.3039,3.57,95,100,2.19,SE,1669867504
125,chanika,-5.4167,38.0167,20.85,83,100,0.56,TZ,1669867505
126,ostrovnoy,68.0531,39.5131,-4.26,90,100,3.05,RU,1669867379
127,adrar,20.5022,-10.0711,17.69,23,55,4.16,MR,1669867505
128,bintulu,3.1667,113.0333,26.7,83,93,2.43,MY,1669867505
129,hithadhoo,-0.6,73.0833,27.3,68,40,3.97,MV,1669867506
130,tomatlan,19.9333,-105.25,21.55,88,47,1.18,MX,1669867506
131,nanakuli,21.3906,-158.1547,25.97,61,100,3.09,US,1669867507
132,carnarvon,-24.8667,113.6333,24.44,63,4,5.78,AU,1669867343
133,port hedland,-20.3167,118.5667,34.03,49,8,7.72,AU,1669867507
134,port lincoln,-34.7333,135.8667,19.34,57,1,4.37,AU,1669867272
135,kaitangata,-46.2817,169.8464,15.41,50,58,5.25,NZ,1669867508
136,nanortalik,60.1432,-45.2371,-3.13,77,59,14.52,GL,1669867313
137,olavarria,-36.8927,-60.3225,15.92,80,100,4.37,AR,1669867508
138,butaritari,3.0707,172.7902,27.5,76,22,5.45,KI,1669867509
139,zapolyarnyy,69.4154,30.8136,-1.4,96,81,2.59,RU,1669867509
140,conceicao do araguaia,-8.2578,-49.2647,21.41,97,87,1.17,BR,1669867510
141,yerofey pavlovich,53.9667,121.9667,-23.26,72,95,1.23,RU,1669867510
